finish -2: Computing delta...
finish -1: Starting kernel launch from Python binding, s_q=4096, topk_length=2048
[B50 SQ25 CTA0] k=0 [WG3] step 1-pre: wait bar_prologue_kv phase=0
[B138 SQ69 CTA0] k=0 [WG3] step 1-pre: wait bar_prologue_kv phase=0
[B52 SQ26 CTA0] k=0 [WG3] step 1-pre: wait bar_prologue_kv phase=0
[B82 SQ41 CTA0] k=0 [WG3] step 1-pre: wait bar_prologue_kv phase=0
[B140 SQ70 CTA0] k=0 [WG3] step 1-pre: wait bar_prologue_kv phase=0
[B146 SQ73 CTA0] k=0 [WG3] step 1-pre: wait bar_prologue_kv phase=0
[B96 SQ48 CTA0] k=0 [WG3] step 1-pre: wait bar_prologue_kv phase=0
[B144 SQ72 CTA0] k=0 [WG3] step 1-pre: wait bar_prologue_kv phase=0
[B38 SQ19 CTA0] k=0 [WG3] step 1-pre: wait bar_prologue_kv phase=0
[B18 SQ9 CTA0] k=0 [WG3] step 1-pre: wait bar_prologue_kv phase=0
[B54 SQ27 CTA0] k=0 [WG3] step 1-pre: wait bar_prologue_kv phase=0
[B36 SQ18 CTA0] k=0 [WG3] step 1-pre: wait bar_prologue_kv phase=0
[B98 SQ49 CTA0] k=0 [WG3] step 1-pre: wait bar_prologue_kv phase=0
[B34 SQ17 CTA0] k=0 [WG3] step 1-pre: wait bar_prologue_kv phase=0
[B20 SQ10 CTA0] k=0 [WG3] step 1-pre: wait bar_prologue_kv phase=0
[B84 SQ42 CTA0] k=0 [WG3] step 1-pre: wait bar_prologue_kv phase=0
[B66 SQ33 CTA0] k=0 [WG3] step 1-pre: wait bar_prologue_kv phase=0
[B6 SQ3 CTA0] k=0 [WG3] step 1-pre: wait bar_prologue_kv phase=0
[B124 SQ62 CTA0] k=0 [WG3] step 1-pre: wait bar_prologue_kv phase=0
[B126 SQ63 CTA0] k=0 [WG3] step 1-pre: wait bar_prologue_kv phase=0
[B68 SQ34 CTA0] k=0 [WG3] step 1-pre: wait bar_prologue_kv phase=0
[B4 SQ2 CTA0] k=0 [WG3] step 1-pre: wait bar_prologue_kv phase=0
[B110 SQ55 CTA0] k=0 [WG3] step 1-pre: wait bar_prologue_kv phase=0
[B112 SQ56 CTA0] k=0 [WG3] step 1-pre: wait bar_prologue_kv phase=0
[B136 SQ68 CTA0] k=0 [WG3] step 1-pre: wait bar_prologue_kv phase=0
[B70 SQ35 CTA0] k=0 [WG3] step 1-pre: wait bar_prologue_kv phase=0
[B80 SQ40 CTA0] k=0 [WG3] step 1-pre: wait bar_prologue_kv phase=0
[B22 SQ11 CTA0] k=0 [WG3] step 1-pre: wait bar_prologue_kv phase=0
[B48 SQ24 CTA0] k=0 [WG3] step 1-pre: wait bar_prologue_kv phase=0
[B16 SQ8 CTA0] k=0 [WG3] step 1-pre: wait bar_prologue_kv phase=0
[B32 SQ16 CTA0] k=0 [WG3] step 1-pre: wait bar_prologue_kv phase=0
[B142 SQ71 CTA0] k=0 [WG3] step 1-pre: wait bar_prologue_kv phase=0
[B94 SQ47 CTA0] k=0 [WG3] step 1-pre: wait bar_prologue_kv phase=0
[B122 SQ61 CTA0] k=0 [WG3] step 1-pre: wait bar_prologue_kv phase=0
[B64 SQ32 CTA0] k=0 [WG3] step 1-pre: wait bar_prologue_kv phase=0
[B108 SQ54 CTA0] k=0 [WG3] step 1-pre: wait bar_prologue_kv phase=0
[B118 SQ59 CTA0] k=0 [WG3] step 1-pre: wait bar_prologue_kv phase=0
[B76 SQ38 CTA0] k=0 [WG3] step 1-pre: wait bar_prologue_kv phase=0
[B119 SQ59 CTA1] k=0 [WG3] step 3-pre: wait bar_s_ready phase=0
[B12 SQ6 CTA0] k=0 [WG3] step 1-pre: wait bar_prologue_kv phase=0
[B77 SQ38 CTA1] k=0 [WG3] step 3-pre: wait bar_s_ready phase=0
[B13 SQ6 CTA1] k=0 [WG3] step 3-pre: wait bar_s_ready phase=0
[B28 SQ14 CTA0] k=0 [WG3] step 1-pre: wait bar_prologue_kv phase=0
[B29 SQ14 CTA1] k=0 [WG3] step 3-pre: wait bar_s_ready phase=0
[B134 SQ67 CTA0] k=0 [WG3] step 1-pre: wait bar_prologue_kv phase=0
[B44 SQ22 CTA0] k=0 [WG3] step 1-pre: wait bar_prologue_kv phase=0
[B78 SQ39 CTA0] k=0 [WG3] step 1-pre: wait bar_prologue_kv phase=0
[B132 SQ66 CTA0] k=0 [WG3] step 1-pre: wait bar_prologue_kv phase=0
[B135 SQ67 CTA1] k=0 [WG3] step 3-pre: wait bar_s_ready phase=0
[B128 SQ64 CTA0] k=0 [WG3] step 1-pre: wait bar_prologue_kv phase=0
[B90 SQ45 CTA0] k=0 [WG3] step 1-pre: wait bar_prologue_kv phase=0
[B14 SQ7 CTA0] k=0 [WG3] step 1-pre: wait bar_prologue_kv phase=0
[B72 SQ36 CTA0] k=0 [WG3] step 1-pre: wait bar_prologue_kv phase=0
[B45 SQ22 CTA1] k=0 [WG3] step 3-pre: wait bar_s_ready phase=0
[B46 SQ23 CTA0] k=0 [WG3] step 1-pre: wait bar_prologue_kv phase=0
[B79 SQ39 CTA1] k=0 [WG3] step 3-pre: wait bar_s_ready phase=0
[B129 SQ64 CTA1] k=0 [WG3] step 3-pre: wait bar_s_ready phase=0
[B133 SQ66 CTA1] k=0 [WG3] step 3-pre: wait bar_s_ready phase=0
[B74 SQ37 CTA0] k=0 [WG3] step 1-pre: wait bar_prologue_kv phase=0
[B40 SQ20 CTA0] k=0 [WG3] step 1-pre: wait bar_prologue_kv phase=0
[B60 SQ30 CTA0] k=0 [WG3] step 1-pre: wait bar_prologue_kv phase=0
[B2 SQ1 CTA0] k=0 [WG3] step 1-pre: wait bar_prologue_kv phase=0
[B15 SQ7 CTA1] k=0 [WG3] step 3-pre: wait bar_s_ready phase=0
[B73 SQ36 CTA1] k=0 [WG3] step 3-pre: wait bar_s_ready phase=0
[B42 SQ21 CTA0] k=0 [WG3] step 1-pre: wait bar_prologue_kv phase=0
[B91 SQ45 CTA1] k=0 [WG3] step 3-pre: wait bar_s_ready phase=0
[B10 SQ5 CTA0] k=0 [WG3] step 1-pre: wait bar_prologue_kv phase=0
[B24 SQ12 CTA0] k=0 [WG3] step 1-pre: wait bar_prologue_kv phase=0
[B120 SQ60 CTA0] k=0 [WG3] step 1-pre: wait bar_prologue_kv phase=0
[B104 SQ52 CTA0] k=0 [WG3] step 1-pre: wait bar_prologue_kv phase=0
[B92 SQ46 CTA0] k=0 [WG3] step 1-pre: wait bar_prologue_kv phase=0
[B30 SQ15 CTA0] k=0 [WG3] step 1-pre: wait bar_prologue_kv phase=0
[B8 SQ4 CTA0] k=0 [WG3] step 1-pre: wait bar_prologue_kv phase=0
[B88 SQ44 CTA0] k=0 [WG3] step 1-pre: wait bar_prologue_kv phase=0
[B75 SQ37 CTA1] k=0 [WG3] step 3-pre: wait bar_s_ready phase=0
[B56 SQ28 CTA0] k=0 [WG3] step 1-pre: wait bar_prologue_kv phase=0
[B25 SQ12 CTA1] k=0 [WG3] step 3-pre: wait bar_s_ready phase=0
[B62 SQ31 CTA0] k=0 [WG3] step 1-pre: wait bar_prologue_kv phase=0
[B105 SQ52 CTA1] k=0 [WG3] step 3-pre: wait bar_s_ready phase=0
[B47 SQ23 CTA1] k=0 [WG3] step 3-pre: wait bar_s_ready phase=0
[B31 SQ15 CTA1] k=0 [WG3] step 3-pre: wait bar_s_ready phase=0
[B58 SQ29 CTA0] k=0 [WG3] step 1-pre: wait bar_prologue_kv phase=0
[B9 SQ4 CTA1] k=0 [WG3] step 3-pre: wait bar_s_ready phase=0
[B130 SQ65 CTA0] k=0 [WG3] step 1-pre: wait bar_prologue_kv phase=0
[B11 SQ5 CTA1] k=0 [WG3] step 3-pre: wait bar_s_ready phase=0
[B114 SQ57 CTA0] k=0 [WG3] step 1-pre: wait bar_prologue_kv phase=0
[B86 SQ43 CTA0] k=0 [WG3] step 1-pre: wait bar_prologue_kv phase=0
[B63 SQ31 CTA1] k=0 [WG3] step 3-pre: wait bar_s_ready phase=0
[B61 SQ30 CTA1] k=0 [WG3] step 3-pre: wait bar_s_ready phase=0
[B3 SQ1 CTA1] k=0 [WG3] step 3-pre: wait bar_s_ready phase=0
[B116 SQ58 CTA0] k=0 [WG3] step 1-pre: wait bar_prologue_kv phase=0
[B43 SQ21 CTA1] k=0 [WG3] step 3-pre: wait bar_s_ready phase=0
[B26 SQ13 CTA0] k=0 [WG3] step 1-pre: wait bar_prologue_kv phase=0
[B100 SQ50 CTA0] k=0 [WG3] step 1-pre: wait bar_prologue_kv phase=0
[B41 SQ20 CTA1] k=0 [WG3] step 3-pre: wait bar_s_ready phase=0
[B121 SQ60 CTA1] k=0 [WG3] step 3-pre: wait bar_s_ready phase=0
[B93 SQ46 CTA1] k=0 [WG3] step 3-pre: wait bar_s_ready phase=0
[B117 SQ58 CTA1] k=0 [WG3] step 3-pre: wait bar_s_ready phase=0
[B89 SQ44 CTA1] k=0 [WG3] step 3-pre: wait bar_s_ready phase=0
[B27 SQ13 CTA1] k=0 [WG3] step 3-pre: wait bar_s_ready phase=0
[B57 SQ28 CTA1] k=0 [WG3] step 3-pre: wait bar_s_ready phase=0
[B87 SQ43 CTA1] k=0 [WG3] step 3-pre: wait bar_s_ready phase=0
[B106 SQ53 CTA0] k=0 [WG3] step 1-pre: wait bar_prologue_kv phase=0
[B102 SQ51 CTA0] k=0 [WG3] step 1-pre: wait bar_prologue_kv phase=0
[B131 SQ65 CTA1] k=0 [WG3] step 3-pre: wait bar_s_ready phase=0
[B115 SQ57 CTA1] k=0 [WG3] step 3-pre: wait bar_s_ready phase=0
[B107 SQ53 CTA1] k=0 [WG3] step 3-pre: wait bar_s_ready phase=0
[B59 SQ29 CTA1] k=0 [WG3] step 3-pre: wait bar_s_ready phase=0
[B101 SQ50 CTA1] k=0 [WG3] step 3-pre: wait bar_s_ready phase=0
[B103 SQ51 CTA1] k=0 [WG3] step 3-pre: wait bar_s_ready phase=0
[B76 SQ38 CTA0] k=0 [WG3] step 1: bar_prologue_kv done
[B132 SQ66 CTA0] k=0 [WG3] step 1: bar_prologue_kv done
[B114 SQ57 CTA0] k=0 [WG3] step 1: bar_prologue_kv done
[B130 SQ65 CTA0] k=0 [WG3] step 1: bar_prologue_kv done
[B128 SQ64 CTA0] k=0 [WG3] step 1: bar_prologue_kv done
[B72 SQ36 CTA0] k=0 [WG3] step 1: bar_prologue_kv done
[B10 SQ5 CTA0] k=0 [WG3] step 1: bar_prologue_kv done
[B42 SQ21 CTA0] k=0 [WG3] step 1: bar_prologue_kv done
[B40 SQ20 CTA0] k=0 [WG3] step 1: bar_prologue_kv done
[B86 SQ43 CTA0] k=0 [WG3] step 1: bar_prologue_kv done
[B74 SQ37 CTA0] k=0 [WG3] step 1: bar_prologue_kv done
[B118 SQ59 CTA0] k=0 [WG3] step 1: bar_prologue_kv done
[B44 SQ22 CTA0] k=0 [WG3] step 1: bar_prologue_kv done
[B88 SQ44 CTA0] k=0 [WG3] step 1: bar_prologue_kv done
[B24 SQ12 CTA0] k=0 [WG3] step 1: bar_prologue_kv done
[B8 SQ4 CTA0] k=0 [WG3] step 1: bar_prologue_kv done
[B26 SQ13 CTA0] k=0 [WG3] step 1: bar_prologue_kv done
[B58 SQ29 CTA0] k=0 [WG3] step 1: bar_prologue_kv done
[B134 SQ67 CTA0] k=0 [WG3] step 1: bar_prologue_kv done
[B78 SQ39 CTA0] k=0 [WG3] step 1: bar_prologue_kv done
[B12 SQ6 CTA0] k=0 [WG3] step 1: bar_prologue_kv done
[B90 SQ45 CTA0] k=0 [WG3] step 1: bar_prologue_kv done
[B60 SQ30 CTA0] k=0 [WG3] step 1: bar_prologue_kv done
[B28 SQ14 CTA0] k=0 [WG3] step 1: bar_prologue_kv done
[B14 SQ7 CTA0] k=0 [WG3] step 1: bar_prologue_kv done
[B46 SQ23 CTA0] k=0 [WG3] step 1: bar_prologue_kv done
[B2 SQ1 CTA0] k=0 [WG3] step 1: bar_prologue_kv done
[B30 SQ15 CTA0] k=0 [WG3] step 1: bar_prologue_kv done
[B104 SQ52 CTA0] k=0 [WG3] step 1: bar_prologue_kv done
[B106 SQ53 CTA0] k=0 [WG3] step 1: bar_prologue_kv done
[B122 SQ61 CTA0] k=0 [WG3] step 1: bar_prologue_kv done
[B120 SQ60 CTA0] k=0 [WG3] step 1: bar_prologue_kv done
[B62 SQ31 CTA0] k=0 [WG3] step 1: bar_prologue_kv done
[B116 SQ58 CTA0] k=0 [WG3] step 1: bar_prologue_kv done
[B56 SQ28 CTA0] k=0 [WG3] step 1: bar_prologue_kv done
[B100 SQ50 CTA0] k=0 [WG3] step 1: bar_prologue_kv done
[B92 SQ46 CTA0] k=0 [WG3] step 1: bar_prologue_kv done
[CTA 0] finish 2: TMEM allocated
[WG2 CTA1] finish 1: WG2 started
[B54 SQ27 CTA0] k=0 [WG3] step 1: bar_prologue_kv done
[B4 SQ2 CTA0] k=0 [WG3] step 1: bar_prologue_kv done
[WG2 CTA0] finish 1: WG2 started
[B52 SQ26 CTA0] k=0 [WG3] step 1: bar_prologue_kv done
[B140 SQ70 CTA0] k=0 [WG3] step 1: bar_prologue_kv done
[B38 SQ19 CTA0] k=0 [WG3] step 1: bar_prologue_kv done
[B6 SQ3 CTA0] k=0 [WG3] step 1: bar_prologue_kv done
[B136 SQ68 CTA0] k=0 [WG3] step 1: bar_prologue_kv done
[B80 SQ40 CTA0] k=0 [WG3] step 1: bar_prologue_kv done
[B142 SQ71 CTA0] k=0 [WG3] step 1: bar_prologue_kv done
[B48 SQ24 CTA0] k=0 [WG3] step 1: bar_prologue_kv done
[B138 SQ69 CTA0] k=0 [WG3] step 1: bar_prologue_kv done
[B82 SQ41 CTA0] k=0 [WG3] step 1: bar_prologue_kv done
[B146 SQ73 CTA0] k=0 [WG3] step 1: bar_prologue_kv done
[B84 SQ42 CTA0] k=0 [WG3] step 1: bar_prologue_kv done
[B20 SQ10 CTA0] k=0 [WG3] step 1: bar_prologue_kv done
[B50 SQ25 CTA0] k=0 [WG3] step 1: bar_prologue_kv done
[B22 SQ11 CTA0] k=0 [WG3] step 1: bar_prologue_kv done
[B144 SQ72 CTA0] k=0 [WG3] step 1: bar_prologue_kv done
[B18 SQ9 CTA0] k=0 [WG3] step 1: bar_prologue_kv done
[B70 SQ35 CTA0] k=0 [WG3] step 1: bar_prologue_kv done
[B16 SQ8 CTA0] k=0 [WG3] step 1: bar_prologue_kv done
[B94 SQ47 CTA0] k=0 [WG3] step 1: bar_prologue_kv done
[B32 SQ16 CTA0] k=0 [WG3] step 1: bar_prologue_kv done
[B126 SQ63 CTA0] k=0 [WG3] step 1: bar_prologue_kv done
[B98 SQ49 CTA0] k=0 [WG3] step 1: bar_prologue_kv done
[B36 SQ18 CTA0] k=0 [WG3] step 1: bar_prologue_kv done
[B124 SQ62 CTA0] k=0 [WG3] step 1: bar_prologue_kv done
[B96 SQ48 CTA0] k=0 [WG3] step 1: bar_prologue_kv done
[B66 SQ33 CTA0] k=0 [WG3] step 1: bar_prologue_kv done
[B108 SQ54 CTA0] k=0 [WG3] step 1: bar_prologue_kv done
[B64 SQ32 CTA0] k=0 [WG3] step 1: bar_prologue_kv done
[B68 SQ34 CTA0] k=0 [WG3] step 1: bar_prologue_kv done
[B112 SQ56 CTA0] k=0 [WG3] step 1: bar_prologue_kv done
[B110 SQ55 CTA0] k=0 [WG3] step 1: bar_prologue_kv done
[WG3 CTA1] finish 1: TMEM tensors allocated
[WG3 CTA0] finish 1: TMEM tensors allocated
[WG1 CTA1] finish 1: starting KV tile loop
[WG1 CTA0] finish 1: starting KV tile loop
[WG0 CTA1] finish 1: LSE loaded from global memory
[B34 SQ17 CTA0] k=0 [WG3] step 1: bar_prologue_kv done
[B102 SQ51 CTA0] k=0 [WG3] step 1: bar_prologue_kv done
[B133 SQ66 CTA1] k=0 [WG3] step 3: bar_s_ready done
[B132 SQ66 CTA0] k=0 [WG3] step 2a: P done, bar_p_ready
[B76 SQ38 CTA0] k=0 [WG3] step 2a: P done, bar_p_ready
[B77 SQ38 CTA1] k=0 [WG3] step 3: bar_s_ready done
[B72 SQ36 CTA0] k=0 [WG3] step 2a: P done, bar_p_ready
[B73 SQ36 CTA1] k=0 [WG3] step 3: bar_s_ready done
[B10 SQ5 CTA0] k=0 [WG3] step 2a: P done, bar_p_ready
[B11 SQ5 CTA1] k=0 [WG3] step 3: bar_s_ready done
[B130 SQ65 CTA0] k=0 [WG3] step 2a: P done, bar_p_ready
[B131 SQ65 CTA1] k=0 [WG3] step 3: bar_s_ready done
[B128 SQ64 CTA0] k=0 [WG3] step 2a: P done, bar_p_ready
[B114 SQ57 CTA0] k=0 [WG3] step 2a: P done, bar_p_ready
[B42 SQ21 CTA0] k=0 [WG3] step 2a: P done, bar_p_ready
[B44 SQ22 CTA0] k=0 [WG3] step 2a: P done, bar_p_ready
[B74 SQ37 CTA0] k=0 [WG3] step 2a: P done, bar_p_ready
[B26 SQ13 CTA0] k=0 [WG3] step 2a: P done, bar_p_ready
[B90 SQ45 CTA0] k=0 [WG3] step 2a: P done, bar_p_ready
[B129 SQ64 CTA1] k=0 [WG3] step 3: bar_s_ready done
[B115 SQ57 CTA1] k=0 [WG3] step 3: bar_s_ready done
[B45 SQ22 CTA1] k=0 [WG3] step 3: bar_s_ready done
[B43 SQ21 CTA1] k=0 [WG3] step 3: bar_s_ready done
[B75 SQ37 CTA1] k=0 [WG3] step 3: bar_s_ready done
[B91 SQ45 CTA1] k=0 [WG3] step 3: bar_s_ready done
[B27 SQ13 CTA1] k=0 [WG3] step 3: bar_s_ready done
[B8 SQ4 CTA0] k=0 [WG3] step 2a: P done, bar_p_ready
[B88 SQ44 CTA0] k=0 [WG3] step 2a: P done, bar_p_ready
[B9 SQ4 CTA1] k=0 [WG3] step 3: bar_s_ready done
[B89 SQ44 CTA1] k=0 [WG3] step 3: bar_s_ready done
[B2 SQ1 CTA0] k=0 [WG3] step 2a: P done, bar_p_ready
[B122 SQ61 CTA0] k=0 [WG3] step 2a: P done, bar_p_ready
[B3 SQ1 CTA1] k=0 [WG3] step 3: bar_s_ready done
[B123 SQ61 CTA1] k=0 [WG3] step 3: bar_s_ready done
[B4 SQ2 CTA0] k=0 [WG3] step 2a: P done, bar_p_ready
[B5 SQ2 CTA1] k=0 [WG3] step 3: bar_s_ready done
[B142 SQ71 CTA0] k=0 [WG3] step 2a: P done, bar_p_ready
[B143 SQ71 CTA1] k=0 [WG3] step 3: bar_s_ready done
[B38 SQ19 CTA0] k=0 [WG3] step 2a: P done, bar_p_ready
[B39 SQ19 CTA1] k=0 [WG3] step 3: bar_s_ready done
[B48 SQ24 CTA0] k=0 [WG3] step 2a: P done, bar_p_ready
[B49 SQ24 CTA1] k=0 [WG3] step 3: bar_s_ready done
[B64 SQ32 CTA0] k=0 [WG3] step 2a: P done, bar_p_ready
[B65 SQ32 CTA1] k=0 [WG3] step 3: bar_s_ready done
[B62 SQ31 CTA0] k=0 [WG3] step 2a: P done, bar_p_ready
[B63 SQ31 CTA1] k=0 [WG3] step 3: bar_s_ready done
[B54 SQ27 CTA0] k=0 [WG3] step 2a: P done, bar_p_ready
[B136 SQ68 CTA0] k=0 [WG3] step 2a: P done, bar_p_ready
[B80 SQ40 CTA0] k=0 [WG3] step 2a: P done, bar_p_ready
[B6 SQ3 CTA0] k=0 [WG3] step 2a: P done, bar_p_ready
[B70 SQ35 CTA0] k=0 [WG3] step 2a: P done, bar_p_ready
[B22 SQ11 CTA0] k=0 [WG3] step 2a: P done, bar_p_ready
[B94 SQ47 CTA0] k=0 [WG3] step 2a: P done, bar_p_ready
[B32 SQ16 CTA0] k=0 [WG3] step 2a: P done, bar_p_ready
[B146 SQ73 CTA0] k=0 [WG3] step 2a: P done, bar_p_ready
[B84 SQ42 CTA0] k=0 [WG3] step 2a: P done, bar_p_ready
[B140 SQ70 CTA0] k=0 [WG3] step 2a: P done, bar_p_ready
[B55 SQ27 CTA1] k=0 [WG3] step 3: bar_s_ready done
[B82 SQ41 CTA0] k=0 [WG3] step 2a: P done, bar_p_ready
[B137 SQ68 CTA1] k=0 [WG3] step 3: bar_s_ready done
[B81 SQ40 CTA1] k=0 [WG3] step 3: bar_s_ready done
[B7 SQ3 CTA1] k=0 [WG3] step 3: bar_s_ready done
[B23 SQ11 CTA1] k=0 [WG3] step 3: bar_s_ready done
[B71 SQ35 CTA1] k=0 [WG3] step 3: bar_s_ready done
[B33 SQ16 CTA1] k=0 [WG3] step 3: bar_s_ready done
[B95 SQ47 CTA1] k=0 [WG3] step 3: bar_s_ready done
[B40 SQ20 CTA0] k=0 [WG3] step 2a: P done, bar_p_ready
[B85 SQ42 CTA1] k=0 [WG3] step 3: bar_s_ready done
[B141 SQ70 CTA1] k=0 [WG3] step 3: bar_s_ready done
[B147 SQ73 CTA1] k=0 [WG3] step 3: bar_s_ready done
[B116 SQ58 CTA0] k=0 [WG3] step 2a: P done, bar_p_ready
[B56 SQ28 CTA0] k=0 [WG3] step 2a: P done, bar_p_ready
[B58 SQ29 CTA0] k=0 [WG3] step 2a: P done, bar_p_ready
[B134 SQ67 CTA0] k=0 [WG3] step 2a: P done, bar_p_ready
[B100 SQ50 CTA0] k=0 [WG3] step 2a: P done, bar_p_ready
[B46 SQ23 CTA0] k=0 [WG3] step 2a: P done, bar_p_ready
[B83 SQ41 CTA1] k=0 [WG3] step 3: bar_s_ready done
[B120 SQ60 CTA0] k=0 [WG3] step 2a: P done, bar_p_ready
[B92 SQ46 CTA0] k=0 [WG3] step 2a: P done, bar_p_ready
[B41 SQ20 CTA1] k=0 [WG3] step 3: bar_s_ready done
[B106 SQ53 CTA0] k=0 [WG3] step 2a: P done, bar_p_ready
[B117 SQ58 CTA1] k=0 [WG3] step 3: bar_s_ready done
[B59 SQ29 CTA1] k=0 [WG3] step 3: bar_s_ready done
[B135 SQ67 CTA1] k=0 [WG3] step 3: bar_s_ready done
[B57 SQ28 CTA1] k=0 [WG3] step 3: bar_s_ready done
[B47 SQ23 CTA1] k=0 [WG3] step 3: bar_s_ready done
[B101 SQ50 CTA1] k=0 [WG3] step 3: bar_s_ready done
[B121 SQ60 CTA1] k=0 [WG3] step 3: bar_s_ready done
[B93 SQ46 CTA1] k=0 [WG3] step 3: bar_s_ready done
[B107 SQ53 CTA1] k=0 [WG3] step 3: bar_s_ready done
[B52 SQ26 CTA0] k=0 [WG3] step 2a: P done, bar_p_ready
[B138 SQ69 CTA0] k=0 [WG3] step 2a: P done, bar_p_ready
[B16 SQ8 CTA0] k=0 [WG3] step 2a: P done, bar_p_ready
[B139 SQ69 CTA1] k=0 [WG3] step 3: bar_s_ready done
[B53 SQ26 CTA1] k=0 [WG3] step 3: bar_s_ready done
[B17 SQ8 CTA1] k=0 [WG3] step 3: bar_s_ready done
[B144 SQ72 CTA0] k=0 [WG3] step 2a: P done, bar_p_ready
[B36 SQ18 CTA0] k=0 [WG3] step 2a: P done, bar_p_ready
[B145 SQ72 CTA1] k=0 [WG3] step 3: bar_s_ready done
[B37 SQ18 CTA1] k=0 [WG3] step 3: bar_s_ready done
[B86 SQ43 CTA0] k=0 [WG3] step 2a: P done, bar_p_ready
[B87 SQ43 CTA1] k=0 [WG3] step 3: bar_s_ready done
[B50 SQ25 CTA0] k=0 [WG3] step 2a: P done, bar_p_ready
[B124 SQ62 CTA0] k=0 [WG3] step 2a: P done, bar_p_ready
[B20 SQ10 CTA0] k=0 [WG3] step 2a: P done, bar_p_ready
[B18 SQ9 CTA0] k=0 [WG3] step 2a: P done, bar_p_ready
[B126 SQ63 CTA0] k=0 [WG3] step 2a: P done, bar_p_ready
[B98 SQ49 CTA0] k=0 [WG3] step 2a: P done, bar_p_ready
[B108 SQ54 CTA0] k=0 [WG3] step 2a: P done, bar_p_ready
[B51 SQ25 CTA1] k=0 [WG3] step 3: bar_s_ready done
[B21 SQ10 CTA1] k=0 [WG3] step 3: bar_s_ready done
[B19 SQ9 CTA1] k=0 [WG3] step 3: bar_s_ready done
[B127 SQ63 CTA1] k=0 [WG3] step 3: bar_s_ready done
[B99 SQ49 CTA1] k=0 [WG3] step 3: bar_s_ready done
[B125 SQ62 CTA1] k=0 [WG3] step 3: bar_s_ready done
[B109 SQ54 CTA1] k=0 [WG3] step 3: bar_s_ready done
[B78 SQ39 CTA0] k=0 [WG3] step 2a: P done, bar_p_ready
